rid,date,origin,destination,gbtt_ptd,gbtt_pta,toc_code
202402226728885,2024-02-22,KGX,EDB,1800,2220,GR
202402236728885,2024-02-23,KGX,EDB,1800,2220,GR
202402226728860,2024-02-22,KGX,EDB,1830,2316,GR
202402236728860,2024-02-23,KGX,EDB,1830,2316,GR
202402226728868,2024-02-22,KGX,EDB,1900,2324,GR
202402236728868,2024-02-23,KGX,EDB,1900,2324,GR
202402266728789,2024-02-26,KGX,ABD,1600,2020,GR
202402276728789,2024-02-27,KGX,ABD,1600,2020,GR
202402286728789,2024-02-28,KGX,ABD,1600,2020,GR
202402296728789,2024-02-29,KGX,ABD,1600,2020,GR
202403017806233,2024-03-01,KGX,EDB,1600,2023,GR
202402266728837,2024-02-26,KGX,EDB,1630,2114,GR
202402276728837,2024-02-27,KGX,EDB,1630,2114,GR
202402286728837,2024-02-28,KGX,EDB,1630,2114,GR
202402297806167,2024-02-29,KGX,EDB,1630,2124,GR
202402266728855,2024-02-26,KGX,EDB,1700,2124,GR
202402276728855,2024-02-27,KGX,EDB,1700,2124,GR
202402286728855,2024-02-28,KGX,EDB,1700,2124,GR
202403017806232,2024-03-01,KGX,EDB,1700,2124,GR
202402266728859,2024-02-26,KGX,EDB,1730,2208,GR
202402276728859,2024-02-27,KGX,EDB,1730,2208,GR
202402286728859,2024-02-28,KGX,EDB,1730,2208,GR
202402297806165,2024-02-29,KGX,EDB,1730,2208,GR
202402266728885,2024-02-26,KGX,EDB,1800,2220,GR
202402276728885,2024-02-27,KGX,EDB,1800,2220,GR
202402286728885,2024-02-28,KGX,EDB,1800,2220,GR
202402296728885,2024-02-29,KGX,EDB,1800,2220,GR
202402266728860,2024-02-26,KGX,EDB,1830,2316,GR
202402276728860,2024-02-27,KGX,EDB,1830,2316,GR
202402286728860,2024-02-28,KGX,EDB,1830,2316,GR
202402296728860,2024-02-29,KGX,EDB,1830,2316,GR
202402266728868,2024-02-26,KGX,EDB,1900,2324,GR
202402276728868,2024-02-27,KGX,EDB,1900,2324,GR
202402286728868,2024-02-28,KGX,EDB,1900,2324,GR
202402296728868,2024-02-29,KGX,EDB,1900,2324,GR
202403046728789,2024-03-04,KGX,ABD,1600,2020,GR
202403056728789,2024-03-05,KGX,ABD,1600,2020,GR
202403076728789,2024-03-07,KGX,ABD,1600,2020,GR
202403086728789,2024-03-08,KGX,ABD,1600,2020,GR
202403046728837,2024-03-04,KGX,EDB,1630,2114,GR
202403056728837,2024-03-05,KGX,EDB,1630,2114,GR
202403066728837,2024-03-06,KGX,EDB,1630,2114,GR
202403076728837,2024-03-07,KGX,EDB,1630,2114,GR
202403086728837,2024-03-08,KGX,EDB,1630,2114,GR
202403046728855,2024-03-04,KGX,EDB,1700,2124,GR
202403056728855,2024-03-05,KGX,EDB,1700,2124,GR
202403066728855,2024-03-06,KGX,EDB,1700,2124,GR
202403076728855,2024-03-07,KGX,EDB,1700,2124,GR
